id,content,choices,trait_type
1,"조별과제에서 한 팀원이 부당하게 낮은 점수를 받게 될 상황입니다. 당신은?","{""1"": ""교수님께 직접 찾아가 상황을 설명한다"", ""2"": ""팀원들과 상의하여 해결 방안을 찾는다"", ""3"": ""팀원과 상담하여 다음 과제에서 만회할 방법을 찾는다"", ""4"": ""불편한 상황을 만들지 않기 위해 조용히 넘어간다""}",justice
2,"동아리 MT에서 한 친구가 따돌림을 당하는 것을 목격했습니다. 당신이라면?","{""1"": ""즉시 나서서 상황을 중재한다"", ""2"": ""그 친구 옆자리로 가서 자연스럽게 대화를 이끈다"", ""3"": ""다른 친구들과 상의하여 분위기를 바꾼다"", ""4"": ""나중에 따로 그 친구를 위로한다""}",courage
3,"중요한 시험 공부 중 어려움에 처한 친구가 도움을 요청했습니다. 어떻게 하시나요?","{""1"": ""나의 공부를 잠시 미루더라도 친구를 돕는다"", ""2"": ""짧은 시간이라도 내서 핵심적인 내용을 알려준다"", ""3"": ""온라인 자료나 참고할 만한 강의를 추천한다"", ""4"": ""다른 잘하는 친구를 소개해준다""}",compassion
4,"전공 수업에서 어려운 프로젝트가 실패할 위기에 처했습니다. 당신은?","{""1"": ""밤을 새워서라도 다시 처음부터 시작한다"", ""2"": ""팀원들과 빠르게 대안을 찾아본다"", ""3"": ""교수님께 조언을 구하고 방향을 수정한다"", ""4"": ""현실적으로 가능한 수준으로 목표를 낮춘다""}",determination
5,"동아리 회장 선거에 나온 친한 친구의 공약에 문제가 있습니다. 당신이라면?","{""1"": ""친구와 직접 대화하여 문제점을 지적한다"", ""2"": ""우회적으로 더 나은 방향을 제안한다"", ""3"": ""다른 친구들의 의견을 모아 전달한다"", ""4"": ""친구의 결정을 존중하고 지켜본다""}",wisdom
6,"선배가 운영하는 스터디에서 불합리한 규칙이 있습니다. 당신의 선택은?","{""1"": ""선배에게 직접 규칙 변경을 건의한다"", ""2"": ""다른 스터디원들과 의견을 모아 함께 건의한다"", ""3"": ""익명으로 피드백을 전달한다"", ""4"": ""규칙에 적응하려 노력한다""}",loyalty
7,"취업박람회에서 한 학생이 면접관에게 부당한 질문을 받고 있습니다. 당신은?","{""1"": ""그 자리에서 문제를 제기한다"", ""2"": ""주변 사람들과 함께 상황을 중단시킨다"", ""3"": ""행사 담당자에게 알린다"", ""4"": ""SNS에 해당 상황을 공유한다""}",justice
8,"동아리 발표회 직전, 발표를 맡은 친구가 심한 공황상태입니다. 당신이라면?","{""1"": ""즉시 대신 발표를 자청한다"", ""2"": ""친구를 진정시키고 함께 발표를 준비한다"", ""3"": ""발표 순서를 조정할 방법을 찾아본다"", ""4"": ""의료진의 도움을 요청한다""}",courage
9,"대외활동 팀원 중 한 명이 계속 연락이 안 됩니다. 어떻게 대처하시나요?","{""1"": ""끝까지 연락을 시도하고 상황을 파악한다"", ""2"": ""다른 팀원들과 함께 그 친구의 역할을 보완한다"", ""3"": ""멘토에게 상황을 알리고 조언을 구한다"", ""4"": ""새로운 팀원으로 교체를 요청한다""}",determination
10,"동기가 개인적인 사정으로 학업에 어려움을 겪고 있습니다. 당신의 반응은?","{""1"": ""적극적으로 도움을 제안하고 함께 공부한다"", ""2"": ""힘들어하는 부분을 파악하고 필요한 도움을 준다"", ""3"": ""학교의 상담 서비스를 추천한다"", ""4"": ""그 친구가 요청할 때까지 기다린다""}",compassion
11,"새로운 전공 수업을 선택할 때 당신의 접근 방식은?","{""1"": ""철저히 강의계획서를 분석하고 선배들의 조언을 구한다"", ""2"": ""관심 분야와 진로 계획을 고려하여 결정한다"", ""3"": ""학점과 시간표를 고려하여 현실적으로 선택한다"", ""4"": ""흥미로워 보이는 과목을 직관적으로 선택한다""}",wisdom
12,"선배가 추천한 동아리가 기대와 달랐습니다. 당신의 선택은?","{""1"": ""선배의 좋은 의도를 생각하며 끝까지 활동한다"", ""2"": ""선배와 상담하며 다른 방향을 모색한다"", ""3"": ""한 학기만 성실히 참여하고 정리한다"", ""4"": ""더 맞는 동아리를 찾아 옮긴다""}",loyalty
