character_id,template_type,content
1,basic,"당신은 화목란처럼 가족을 위해 큰 희생을 감수할 수 있는 사람입니다. 강인한 의지와 책임감으로 어려운 상황에서도 굴하지 않고 자신의 역할을 다하려 노력하는 모습이 인상적이네요."
1,modern,"현대 사회에서 화목란은 유리천장을 깨는 여성 리더의 모습과 닮았습니다. 성별 고정관념을 뛰어넘어 자신의 능력을 증명하고, 위기 상황에서도 리더십을 발휘하는 당신의 모습이 돋보입니다."
1,advice,"때로는 자신의 진정한 모습을 숨기고 살아야 할 때도 있지만, 결국 당신의 진정성과 능력은 반드시 인정받을 것입니다. 어려운 상황에서도 자신을 믿고 한 걸음씩 나아가세요."
2,basic,"당신은 하정옥처럼 공정하고 현명한 판단력을 가진 사람입니다. 타인의 능력을 편견 없이 인정하고, 함께 목표를 향해 나아가는 리더십이 돋보이네요."
2,modern,"현대 조직에서 하정옥은 실력 위주의 평가를 하는 공정한 관리자를 떠올리게 합니다. 당신도 능력주의를 추구하며, 다양성을 존중하는 리더의 자질을 가지고 있습니다."
2,advice,"때로는 관행이나 편견에 도전하는 것이 필요합니다. 당신의 공정한 판단력을 믿고, 조직의 변화를 이끌어내는 역할을 해보세요."
3,basic,"당신은 진향련처럼 강인한 의지와 정의감을 가진 사람입니다. 부당한 상황에서도 좌절하지 않고, 끝까지 진실을 추구하는 용기가 있네요."
3,modern,"오늘날 진향련은 가정폭력이나 부당한 대우에 맞서 싸우는 인권운동가의 모습과 비슷합니다. 당신도 사회적 정의를 위해 목소리를 내는 용기 있는 사람입니다."
3,advice,"정의를 추구하는 과정은 외롭고 힘들 수 있습니다. 하지만 당신의 용기는 많은 사람들에게 희망이 될 수 있어요. 포기하지 말고 끝까지 싸우세요."
4,basic,"당신은 진사미처럼 개인의 성공과 부귀영화를 중요하게 여기는 경향이 있습니다. 하지만 그 과정에서 소중한 것들을 놓치지 않도록 주의하세요."
4,modern,"현대 사회에서 진사미는 성공을 위해 모든 것을 걸지만, 정작 중요한 가치를 잃어버리는 워커홀릭의 모습을 보여줍니다."
4,advice,"성공도 중요하지만, 그 과정에서 잃어버리는 것들에 대해 한번쯤 생각해보세요. 진정한 성공이란 무엇인지 돌아보는 시간이 필요할 것 같네요."
5,basic,"당신은 섭소천처럼 과거의 아픔을 극복하고 새로운 시작을 꿈꾸는 사람입니다. 상처 속에서도 희망을 발견하는 긍정적인 면모가 있네요."
5,modern,"현대인들이 겪는 트라우마와 그것을 치유하는 과정을 섭소천의 이야기에서 발견할 수 있습니다. 당신도 그런 치유의 여정을 걷고 있군요."
5,advice,"과거의 상처에서 벗어나 새로운 삶을 시작하는 것은 쉽지 않습니다. 하지만 당신에게는 그럴 만한 용기와 의지가 있어요. 한 걸음씩 나아가세요."
6,basic,"당신은 영채신처럼 타인의 고통을 이해하고 공감하는 따뜻한 마음을 가진 사람입니다. 위험을 감수하면서도 옳은 일을 하려는 용기가 돋보이네요."
6,modern,"현대 사회에서 영채신은 사회적 약자를 돕는 인권변호사나 상담가의 모습과 닮았습니다. 당신도 타인의 아픔을 보듬고 도움을 주려 노력하는 사람이에요."
6,advice,"타인을 돕는 과정에서 자신을 잃지 않도록 주의하세요. 당신의 선한 영향력이 지속되려면 자신을 돌보는 것도 중요합니다."
7,basic,"당신은 축영대처럼 자신의 꿈을 위해 도전하는 열정적인 사람입니다. 사회적 제약에도 불구하고 자신의 길을 개척하려는 용기가 있네요."
7,modern,"현대에도 여전히 존재하는 성차별과 편견에 맞서는 축영대의 모습은 오늘날의 페미니스트들과 닮았습니다. 당신도 그런 평등의 가치를 추구하고 있군요."
7,advice,"꿈을 향한 도전은 때로 고독하고 힘든 길일 수 있습니다. 하지만 당신의 도전은 다른 이들에게도 영감이 될 수 있어요. 계속해서 전진하세요."
8,basic,"당신은 양산백처럼 순수하고 학문을 사랑하는 사람입니다. 때로는 현실을 놓치기도 하지만, 그만큼 자신의 분야에 대한 열정이 깊네요."
8,modern,"오늘날 양산백은 자신의 연구나 예술에 몰두하느라 주변을 살피지 못하는 전문가의 모습을 떠올리게 합니다. 당신도 그런 면이 있군요."
